Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
BAX,83.4,2021/05/13,16:00 EDT,0.300003,83.05,83.82,82.85,2956411,,,,,,,
VRTX,214.35,2021/05/13,16:00 EDT,1.6700134,212.69,215.015,212.3692,1077583,,,,,,,
REGN,517.17,2021/05/13,16:00 EDT,10.029968,508.86,519.07,505.565,967079,,,,,,,
BIIB,281.71,2021/05/13,16:00 EDT,7.6900024,274.26,283.16,274.26,1039963,,,,,,,
RHHBY,41.7,2021/05/13,16:00 EDT,0.5,41.25,41.93,41.25,843738,,,,,,,
GILD,68.91,2021/05/13,16:00 EDT,1.4600067,67.75,68.98,67.45,6952833,,,,,,,
AMGN,252.07,2021/05/13,16:00 EDT,1.2400055,251.41,254.09,249.79,3275792,,,,,,,
ZTS,170.85,2021/05/13,16:03 EDT,2.8100128,168.37,171.27,167.83,1260500,,,,,,,
TEVA,10.42,2021/05/13,16:00 EDT,0.14999962,10.33,10.52,10.25,6303805,,,,,,,
TARO,72.5,2021/05/13,16:00 EDT,0.3600006,71.87,72.71,71.87,16878,,,,,,,
SNY,52.54,2021/05/13,16:00 EDT,0.77000046,52.03,52.635,51.95,1050197,,,,,,,
PBYI,9.69,2021/05/13,16:00 EDT,-0.030000687,9.75,9.86,9.43,293244,,,,,,,
PBH,48.6,2021/05/13,16:00 EDT,1.9899979,46.36,48.665,46.36,254498,,,,,,,
PRGO,45.01,2021/05/13,16:00 EDT,-0.75,43.75,45.27,43.75,1706560,,,,,,,
NVS,88.4,2021/05/13,16:00 EDT,0.83000183,87.66,88.6,87.43,1613909,,,,,,,
MYOV,20.39,2021/05/13,16:00 EDT,-0.2800007,20.83,21.0,19.92,507753,,,,,,,
MRK,78.69,2021/05/13,16:02 EDT,0.69000244,77.89,78.99,77.635,9333436,,,,,,,
LCI,4.85,2021/05/13,16:00 EDT,0.48000002,4.43,4.89,4.4001,563757,,,,,,,
KDMN,3.565,2021/05/13,16:00 EDT,-0.0149998665,3.62,3.71,3.47,2369558,,,,,,,
GSK,38.66,2021/05/13,16:00 EDT,0.3199997,38.22,38.71,38.2,4423222,,,,,,,
EBS,58.5,2021/05/13,16:00 EDT,-0.099998474,59.03,59.91,58.3,605095,,,,,,,
LLY,194.94,2021/05/13,16:04 EDT,2.5899963,192.25,196.11,191.75,2042543,,,,,,,
RDY,72.54,2021/05/13,16:00 EDT,1.0699997,71.37,73.0,71.37,108380,,,,,,,
CTLT,100.48,2021/05/13,16:03 EDT,-1.0,101.85,102.2,99.42,1092118,,,,,,,
BMY,65.04,2021/05/13,16:00 EDT,0.510002,64.44,65.34,64.45,8611631,,,,,,,
AXON,126.25,2021/05/13,16:00 EDT,2.1600037,124.56,127.76,123.0201,376369,,,,,,,
AZN,55.05,2021/05/13,16:00 EDT,0.54999924,54.46,55.215,54.43,7293226,,,,,,,
ABBV,116.6,2021/05/13,16:03 EDT,1.6399994,115.55,117.2,115.01,6465881,,,,,,,
ABT,117.45,2021/05/13,16:03 EDT,1.0999985,117.0,118.03,116.67,4294209,,,,,,,
JNJ,169.96,2021/05/13,16:00 EDT,1.76001,166.97,170.7,166.97,8018910,,,,,,,
NVO,78.89,2021/05/13,16:00 EDT,0.8499985,77.85,78.98,77.52,1286315,,,,,,,
PFE,40.1,2021/05/13,16:03 EDT,0.40999985,39.5,40.28,39.5,25232157,,,,,,,
